registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:11677,AICS|ENDAS|FIGC,935610,01/07/2025,30/06/2026
coni:1168,CSI|FIGC,964262,23/07/2025,30/06/2026
coni:116836,CSI|FIGC,943375,01/07/2025,30/06/2026
coni:116901,FIGC,61511,01/07/2025,30/06/2026
coni:116914,FIGC,77209,01/07/2025,30/06/2026
coni:11692,FIGC,79603,01/07/2025,30/06/2026
coni:116923,CSI|FIGC|PGS|UISP|US_ACLI,912327,01/07/2025,30/06/2026
coni:116977,FIGC,931322,01/07/2025,30/06/2026
coni:11707,FIGC,919197,01/07/2025,30/06/2026
coni:117146,FIGC|UISP,937756,01/07/2025,30/06/2026
coni:11716,CSI|FIGC,964123,24/07/2025,30/06/2026
coni:11721,FIGC,937891,01/07/2025,30/06/2026
coni:117276,FIGC,932104,01/07/2025,30/06/2026
coni:11729,FIGC,930035,01/07/2025,30/06/2026
coni:11730,CSEN|FIGC,18570,01/07/2025,30/06/2026
coni:117321,CSI|FIGC|UISP,02001901,06/07/2025,30/06/2026
coni:117359,FIGC,953837,01/07/2025,30/06/2026
coni:11736,FIGC,935655,01/07/2025,30/06/2026
coni:11740,CSI|FIGC,11300122,12/09/2025,30/06/2026
coni:117423,AICS|CSEN|CSI|FIGC|FIP,54219,03/07/2025,30/06/2026
coni:11755,FIGC,938161,01/07/2025,30/06/2026
coni:11760,FIGC,938546,01/07/2025,30/06/2026
coni:11776,FIGC,915431,01/07/2025,30/06/2026
